The Rajputs were foreigners., False
The Rajputs were brave and honewst, True
The capital of Chauhans was at Delhi., False
Dahir was the ruler of Sind., True
The kingdom of Chedi was ruled by Kalachuris., True
The Sen kings defeated the Pala king, True
The famous temple at Khajuraho was built by Prithvi Raj Chauhan., True
Jai Chand was defeated and killedby Mohammad Ghori in 194 AD., False
The famous 'Pahupati Temple' in Nepal was built by Rajyamat, False
The Chalukya kingdom of Kalyani was founded by Taila-II., True
Assam was earlier known as 'Pragjyotishpur'., True
Munja Parmara defeated Taila Chalukya seven times., True
The Pandya kingdom of Madura was annexed to the Vijayanagar empire., True
Salastamba was a Malechchha ruler of Kamarupa., True
